"","AD_A_S33_L001_R1_001","AD_B_S34_L001_R1_001","AD_C_S35_L001_R1_001","AD_D_S36_L001_R1_001","AD_E_S37_L001_R1_001","AD_F_S38_L001_R1_001","AD_G_S39_L001_R1_001","AD_H_S40_L001_R1_001","AD_I_S41_L001_R1_001","AD_J_S42_L001_R1_001","AD_K_S43_L001_R1_001","AD_L_S44_L001_R1_001","AD_M_S45_L001_R1_001","AD_N_S46_L001_R1_001","AD_O_S47_L001_R1_001","AD_Q_S48_L001_R1_001","MMCI_A_S17_L001_R1_001","MMCI_B_S18_L001_R1_001","MMCI_C_S19_L001_R1_001","MMCI_D_S20_L001_R1_001","MMCI_E_S21_L001_R1_001","MMCI_F_S22_L001_R1_001","MMCI_G_S23_L001_R1_001","MMCI_H_S24_L001_R1_001","MMCI_I_S25_L001_R1_001","MMCI_J_S26_L001_R1_001","MMCI_K_S27_L001_R1_001","MMCI_L_S28_L001_R1_001","MMCI_M_S29_L001_R1_001","MMCI_N_S30_L001_R1_001","MMCI_O_S31_L001_R1_001","MMCI_P_S32_L001_R1_001","NCI_A_S1_L001_R1_001","NCI_B_S2_L001_R1_001","NCI_C_S3_L001_R1_001","NCI_D_S4_L001_R1_001","NCI_E_S5_L001_R1_001","NCI_F_S6_L001_R1_001","NCI_G__S7_L001_R1_001","NCI_H_S8_L001_R1_001","NCI_I_S9_L001_R1_001","NCI_J_S10_L001_R1_001","NCI_K_S11_L001_R1_001","NCI_L_S12_L001_R1_001","NCI_M_S13_L001_R1_001","NCI_N_S14_L001_R1_001","NCI_O_S15_L001_R1_001","NCI_P_S16_L001_R1_001"
"tRF-38-3B1NR8YUP6KP6HD2",135.7,54.61,17.8,140.27,110.69,136.32,166.84,110.01,148.77,97.55,200.37,65.03,10.44,72.14,684.79,95.63,102.29,151.96,131.4,124.58,30.44,76.14,287.45,450.9,129.9,37.09,142.81,161.54,103.77,341.23,128.84,271.21,192.37,130.79,85.27,17.01,173.23,117.6,72.84,36.89,96.14,178.72,94.06,33.33,45.7,144.23,540.79,112.75
"tRF-38-3BFNR8YUP6KP6HD2",5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-3FPD48YUHS16MFD2",81.42,117.01,124.62,110.22,221.39,129.82,203.11,226.13,131.26,219.48,286.24,32.52,104.4,108.22,247.28,78.76,20.46,260.51,197.1,194.66,131.89,222.58,229.96,225.45,171.65,61.82,95.21,174.46,212.74,148.74,76.35,235.05,144.28,84.63,28.42,153.11,216.54,156.8,66.22,49.19,174.8,186.16,78.38,125,76.16,55.47,151.42,84.57
"tRF-38-3L7L73V6M9P90HDL",5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-409Z7KZOSRI8WPD2",0,7.8,8.9,0,0,6.49,7.25,0,8.75,12.19,9.54,0,10.44,0,9.51,5.63,0,0,0,0,0,11.71,0,0,0,12.36,15.87,0,0,8.75,14.32,9.04,120.23,23.08,0,8.51,0,0,0,0,8.74,22.34,0,16.67,30.47,0,0,14.09
"tRF-38-45DBNIB9I1KQSXU",0,0,17.8,20.04,11.07,0,7.25,6.11,0,6.1,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,13.92,0,0,0,15.57,8.75,4.77,0,0,0,0,8.51,0,29.4,6.62,12.3,0,0,7.84,16.67,0,11.09,0,7.05
"tRF-38-45LSM1M3WE8SSPD6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-45LSM1M3WE8SSPDX",0,0,0,10.02,0,0,7.25,0,0,0,0,0,10.44,0,0,11.25,0,10.85,0,0,0,11.71,14.37,0,0,37.09,0,0,10.38,0,0,9.04,0,0,0,0,0,9.8,13.24,0,0,0,7.84,16.67,0,11.09,0,14.09
"tRF-38-47MXSL735L8RPY02",10.86,15.6,17.8,0,0,19.47,7.25,6.11,17.5,18.29,9.54,0,0,9.02,28.53,0,20.46,10.85,0,15.57,10.15,11.71,28.75,13.26,9.28,0,0,6.46,0,17.5,23.86,9.04,0,0,9.47,8.51,0,9.8,26.49,0,0,7.45,7.84,8.33,0,0,21.63,21.14
"tRF-38-47MXSL73VL8RPY02",0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,10.85,0,0,0,0,0,0,0,0,0,6.46,0,8.75,0,0,0,15.39,0,0,54.14,0,0,0,0,0,7.84,0,0,0,0,0
